name,when,type,lat,long
Waikiki Beach,August 2021,Reef break,21.27464867,-157.8279805
San Onofre (Old Man's),April 2023,Reef break,33.37352355,-117.5659446
Solana Beach,July 2024,Beach break,32.99413242,-117.2753439
Hunignton Beach,June 2023,Beach break,33.63768036,-117.9735208
Newport Beach,July 2024,Beach break,33.61254925,-117.9334898
Mondos,August 2024,Point break,34.321366,-119.3755445
Campus Point,Sep 2023 to June 2024,Point break,34.40638152,-119.8435201
Deveroux,August 2024 to present,Point break,34.40836548,-119.8760557
Sands,August 2024 to present,Beach break,34.40837796,-119.8801684
The Hook,November 2023,Point break,36.96029977,-121.9645647
Pismo Beach,April 2023 & May 2025,Beach break,35.14356853,-120.6460998
Tamarindo,September 2025,Beach break,10.30634209,-85.83904893
Floßlände,August 2023,Engineered river surfing,48.09028053,11.54519691
